Agency,Contract Number,Caption,Award Amount,Base Contract Period,Multi Year,Option Yrs.Remaining,Market Type,NFP,LSDBE,Vendor Name
District Wide,CW22653,DCSS - Furniture and Furniture Management Services - Metropolitan Office Products,950000,4/5/2013 -                    4/4/2014,No,Base Period,Set Aside,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,METROPOLITAN OFFICE PRODUCTS
District Wide,CW22142,DCSS - General Office Suplies - Metropolitan Office Products,950000,4/5/2013 -                    4/4/2014,No,Base Period,Set Aside,No,,METROPOLITAN OFFICE PRODUCTS
District Wide,CW22174,DCSS - General Office Supplies - American Business Supplies,950000,4/5/2013 -                    4/4/2014,No,Base Period,Set Aside,No,,American Business Supplies LLC
District Wide,CW22147,DCSS - IT Equipment and Software - ABC Technical Solution Inc,950000,4/5/2013 -                    4/4/2014,No,Base Period,Set Aside,No,,ABC TECHNICAL SOLUTIONS INC
District Wide,CW21968,DCSS - IT Equipment and Software - Dupont Computers Inc.,950000,4/5/2013 -                    4/4/2014,No,Base Period,Set Aside,No,,Dupont Computers
District Wide,CW22089,DCSS - IT Equipment and Software - MVS,950000,4/5/2013 -                    4/4/2014,No,Base Period,Set Aside,No,,"MVS, Inc."
District Wide,CW28162,Trusted MCO,542535279,5/1/2013 -                    4/30/2014,No,Base Period,Open,No,,"Thrive Health Plans, Inc"
District Wide,CW24555,Business Cards City Wide,99000,6/11/2013 -                    6/10/2014,No,Base Period,Set Aside,No,,Formost Advanced Creations
District Wide,CW22294,DCHA-2011-C-3563 - Summer Meals Program for DPR,1938826.6,6/21/2013 -                    6/20/2014,No,Base Period,Open,No,,PREFERRED MEAL SYSTEMS INC
District Wide,CW22669,DCSS - Engineering and Logistics - BIG Incorporated,900000,7/1/2013 -                    6/30/2014,No,Base Period,Set Aside,No,,BIG INCORPORATED
District Wide,CW22541,"DCSS - Furniture and Furniture Management - Capital Services and Supplies, Inc",950000,7/1/2013 -                    6/30/2014,No,Base Period,Set Aside,No,,Capital Services and Supplies
District Wide,CW22761,DCSS - IT Equipment and Software - DigiDoc Inc,950000,7/1/2013 -                    6/30/2014,No,Base Period,Set Aside,No,,DIGI DOCS INC DOCUMENT MGERS
District Wide,CW22866,DCSS - MOBIS - AEI Training Partners,950000,7/1/2013 -                    6/30/2014,No,Option Year 4,DCSS,No,Local                                     Small                                     Disadvantaged,AEI TRAINING PARTNERS
District Wide,CW22864,"DCSS - MOBIS - Grand Ground Enterprise, LLC",950000,7/1/2013 -                    6/30/2014,No,Base Period,Set Aside,No,,Grand Ground Enterprise
District Wide,CW22667,DCSS - Moving and Logistics Services - RWD Consulting LLC,500000,7/1/2013 -                    6/30/2014,No,Option Year 4,DCSS,No,Local                                     Small                                     Disadvantaged,"RWD CONSULTING, LLC"
District Wide,CW22667,DCSS - Moving and Logistics Services - RWD Consulting LLC,500000,7/1/2013 -                    6/30/2014,No,Base Period,Set Aside,No,,"RWD CONSULTING, LLC"
District Wide,CW22527,"DCSS - Temporary Support Services - National Associates, Inc",950000,7/1/2013 -                    6/30/2014,No,Base Period,Set Aside,No,,"NATIONAL ASSOCIATES, INC."
District Wide,CW22539,DCSS - Training Services - AEI Training Partners,500000,7/1/2013 -                    6/30/2014,No,Base Period,Set Aside,No,,AEI TRAINING PARTNERS
District Wide,CW22659,Mission Oriented Business Integrated Services (MOBIS),950000,7/1/2013 -                    6/30/2014,No,Option Year 4,DCSS,No,Local                                     Small                                     Disadvantaged,"HEALTH IT 2 Business Solution, LLC, Dasarath  Kiridena"
District Wide,CW22554,"DCSS - Furniture and Furniture Management Services - RWD Consulting, LLC",950000,7/2/2013 -                    7/1/2014,No,Base Period,Set Aside,No,,"RWD CONSULTING, LLC"
District Wide,CW22529,DCSS - Industrial Services - Conspec Contracting LLC,950000,7/2/2013 -                    7/1/2014,No,Base Period,Set Aside,No,,"CONSPEC CONTRACTING, LLC"
District Wide,CW22857,DCSS - Industrial Services - RSC Electrical & Mechanical Co.,950000,7/2/2013 -                    7/1/2014,No,Base Period,Set Aside,No,,RSC ELECTRICAL & MECHANICAL CO
District Wide,CW22665,DCSS - Industrial Supplies and Apparel - Dominion Electric Supply Co.,900000,7/2/2013 -                    7/1/2014,No,Base Period,Set Aside,No,,"Dominion Electric of Washington, LLC"
District Wide,CW22866,DCSS - MOBIS - AEI Training Partners,950000,7/2/2013 -                    7/1/2014,No,Base Period,Set Aside,No,,AEI TRAINING PARTNERS
District Wide,CW22525,DCSS - MOBIS - PRM Consulting,950000,7/2/2013 -                    7/1/2014,No,Base Period,Set Aside,No,,PRM CONSULTING INC
District Wide,CW22168,DCSS - Temporary Support Services - LEAP Staffing,950000,7/2/2013 -                    7/1/2014,No,Base Period,Set Aside,No,,Lawrence Executive Alliance of Professionals
District Wide,CW22657,"DCSS - IT Equipment and Software - SupreTech, Inc.",950000,7/9/2013 -                    7/8/2014,No,Base Period,Set Aside,No,,"SUPRETECH, INC."
District Wide,CW23049,"DCSS - Medical Supplies - Sala, LLC",500000,7/31/2013 -                    7/30/2014,No,Base Period,Set Aside,No,,"SALA, LLC"
District Wide,CW23449,DCSS - MOBIS - Stockbridge Consulting,950000,8/2/2013 -                    8/1/2014,No,Base Period,Set Aside,No,,Stockbridge Consulting LLC
District Wide,CW23515,"DCSS - Office Supplies, General - CapitalServices & Supplies, Inc",950000,8/6/2013 -                    8/5/2014,No,Base Period,Set Aside,No,,Capital Services and Supplies
District Wide,CW23446,"DCSS - MOBIS - District Transportation and Parking Consultants, Inc",950000,8/20/2013 -                    8/19/2014,No,Base Period,Set Aside,No,,district transportation  and parking consultants inc
District Wide,CW19688,CITY-WIDE REMANUFACTURED BLACK TONER-SET ASIDE MARKET-Invitation For Bids,900000,10/1/2013 -                    9/30/2014,No,Option 1,Set Aside,No,,LASER ART INC
District Wide,CW24580,DCPO-2008-E-2113 American Supply-2nd Extension,427685,10/1/2013 -                    3/31/2014,No,Base Period,Open,No,,AMERICAN SUPPLY COMPANY
District Wide,CW22636,"DCSS - IT Equipment and Software - PC Net, Inc.",950000,10/1/2013 -                    9/30/2014,No,Base Period,Set Aside,No,,"PC NET, INC."
District Wide,CW24710,DCSS - Audit & Financial Management Services - Stockbridge Consulting,500000,10/2/2013 -                    10/1/2014,No,Base Period,Set Aside,No,,Stockbridge Consulting LLC
District Wide,CW24784,DCSS - Temporary Support Services - The Choice Inc.,950000,10/5/2013 -                    10/4/2014,No,Base Period,Set Aside,No,,THE CHOICE INC
District Wide,CW25151,"DCSS - Information Technology Equipment Software and Services - Networking for Future, Inc.",950000,10/24/2013 -                    10/23/2014,No,Base Period,Set Aside,No,,"Networking For Future, Inc."
District Wide,CW25347,DCSS - Training Services - MITACC,500000,11/5/2013 -                    11/4/2014,No,Base Period,Set Aside,No,,MITACC
District Wide,CW25367,"DCSS- Marketing, Media and Public Information - Reingold Link LLC",900000,11/6/2013 -                    11/5/2014,No,Base Period,Set Aside,No,,Reingold LINK
District Wide,CW25669,DCSS - Mobis - Washington Business Group,950000,11/22/2013 -                    11/21/2014,No,Base Period,Set Aside,No,,"Washington Business Group, Inc."
District Wide,CW25744,"DCSS - Industrial Services - Van-Tech Industries, LLC.",900000,11/26/2013 -                    11/25/2014,No,Base Period,Set Aside,No,,VAN-TECH INDUSTRIES LLC
District Wide,CW25773,"DCSS - Training Services - Grand Ground Enterprise, LLC",500000,11/26/2013 -                    11/25/2014,No,Base Period,Set Aside,No,,Grand Ground Enterprise
District Wide,CW26001,DCSS - Industrial Supplies and Apparel - Morgan's Inc.,900000,12/2/2013 -                    12/1/2014,No,Base Period,Set Aside,No,,MORGANS INC
District Wide,CW25971,DCSS -MDM Office System Standard Office Suppy - Milton Morris,950000,12/5/2013 -                    12/4/2014,No,Base Period,Set Aside,No,,MDM Office Systems DBA Standard Office Supply
District Wide,CW26027,"DCSS - Temporary Support Services - Walton & Green Consultants, LLP",950000,12/12/2013 -                    12/11/2014,No,Base Period,Set Aside,No,,WALTON & GREEN CONSULTANTS
District Wide,CW26183,"DCSS - Moving and Logisitics Services - RHG Group, Inc.",500000,12/13/2013 -                    12/12/2014,No,Base Period,Set Aside,No,,"RHG Group, Inc."
District Wide,CW25929,Passenger Car Rental,225000,12/17/2013 -                    10/1/2014,No,Base Period,Open,No,,"ZIPCAR, INC."
District Wide,CW26195,"DCSS - Marketing, Media, Public Information - Strong Production LLC",900000,12/20/2013 -                    12/19/2014,No,Base Period,Set Aside,No,,Strong Production
District Wide,CW26346,DCSS - Audit & Financial Management Services - Intel Business Solutions,500000,1/2/2014 -                    1/1/2015,No,Base Period,Set Aside,No,,Intel Business Solutions
District Wide,CW26313,Untitled Contract Workspace (Procurement),500000,1/4/2014 -                    1/3/2015,No,Option 2,Set Aside,No,,PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers
District Wide,CW26343,DCSS - Audit & Financial Management Services - Public Performance Management,500000,1/6/2014 -                    1/5/2015,No,Base Period,Set Aside,No,,Public Performance Management
District Wide,CW26757,"DCSS - MOBIS - 918- Emergency 911 Security, Inc.",950000,1/13/2014 -                    1/12/2015,No,Base Period,Set Aside,No,,EMERGENCY 911 SECURITY
District Wide,CW26755,"DCSS - Moving and Logistics-962-- Emergency 911 Security, Inc.",900000,1/13/2014 -                    1/12/2015,No,Base Period,Set Aside,No,,EMERGENCY 911 SECURITY
District Wide,CW26534,"DCSS - Office Supplies - GateKeepers Internet Marketing, Inc.",950000,1/17/2014 -                    1/16/2015,No,Base Period,Set Aside,No,,GATEKEEPERS INTERNET MARKETING
District Wide,CW26961,DCSS - IT - Pinnacle Business Networks,500000,2/7/2014 -                    2/6/2015,No,Base Period,Set Aside,No,,PINNACLE BUSINESS NETWORKS
District Wide,CW27130,DCSS - Moving & Logistics Serices - Capital Serives & Supplies,500000,2/21/2014 -                    2/20/2015,No,Base Period,Set Aside,No,,Capital Services and Supplies
District Wide,CW26807,"DCSS - Office Supplies - Star Office Products, Inc",950000,2/25/2014 -                    2/24/2015,No,Base Period,Set Aside,No,,"STAR OFFICE PRODUCTS, INC"
District Wide,CW26875,"DCSS - Information Technology Equipment and Software - Public Performance Management, LLC.",950000,3/7/2014 -                    3/6/2015,No,Base Period,Set Aside,No,,Public Performance Management
District Wide,CW24582,DCPO-2008-E-2111 American Supply - 2nd Extension,316850,3/27/2014 -                    9/30/2014,No,Base Period,Open,No,,AMERICAN SUPPLY COMPANY
District Wide,CW28078,City-Wide Drug Testing - Extending,100000,4/1/2014 -                    9/30/2014,No,Base Period,Open,No,,"Metro Lab, LLC"
District Wide,CW22129,"DCSS - General Office Supplies - Yakima Supplies, Inc.",950000,4/1/2014 -                    3/31/2015,No,Option 1,Set Aside,No,,YAKIMA SUPPLIES
District Wide,CW22134,"DCSS - Industrial Services - Bocalje Services, Inc",950000,4/1/2014 -                    3/31/2015,No,Option 1,Set Aside,No,,"BOCALJE SERVICES, INC."
District Wide,CW22095,"DCSS - MOBIS - Corporate Systems Resources, Inc",950000,4/1/2014 -                    3/31/2015,No,Option 1,Set Aside,No,,CORPORATE SYSTEMS RESOURCES
District Wide,CW22097,"DCSS - MOBIS - VCare, LLC",950000,4/1/2014 -                    3/31/2015,No,Option 1,Set Aside,No,,"VCare, LLC"
District Wide,CW22099,DCSS - MOBIS - Wright Capital Realty Group Inc,950000,4/1/2014 -                    3/31/2015,No,Option 1,Set Aside,No,,Wright Capital Realty Group In
District Wide,CW27376,DCSS--MOBIS-Diversifed Enterprises,950000,4/1/2014 -                    3/31/2015,No,Option 1,Set Aside,No,,Diversified Enterprises Group
District Wide,CW28070,Extending City-Wide Drug Testing,100000,4/1/2014 -                    9/30/2014,No,Base Period,Open,No,,"Automation Research, Inc. DBA Drug Testing USA"
District Wide,CW24422,Contract Extension - DCPO-2008-E-2115 Morgans Inc,495000,4/4/2014 -                    9/30/2014,No,Base Period,Set Aside,No,,MORGANS INC
District Wide,CW28334,"DCSS - MOBIS - 918 - Limbic Systems, Inc.",950000,4/21/2014 -                    4/20/2015,No,Base Period,Set Aside,No,,LIMBIC SYSTEMS INC
District Wide,CW28193,Amerihealth MCO,737041491,5/1/2014 -                    4/30/2015,No,Base Period,Open,No,,"AmeriHealth District of Columbia, Inc."
District Wide,CW28162,Trusted MCO,542535279,5/1/2014 -                    4/30/2015,No,Option 1,Open,No,,"Thrive Health Plans, Inc"
District Wide,CW25559,"DCSS - Mobis - Tecknomic, LLC",900000,5/26/2014 -                    5/25/2015,No,Option 1,Set Aside,No,,TECKNOMIC LLC
District Wide,CW29086,Summer Enrichnent Program - Doc152635,20000,5/26/2014 -                    9/30/2014,No,Base Period,Open,No,,HUMANITIES COUNCIL OF WASH. DC
District Wide,CW24555,Business Cards City Wide,99000,6/11/2014 -                    6/10/2015,No,Option 1,Set Aside,No,,Formost Advanced Creations
District Wide,CW26718,DCSS - Printing and Document Management Services - Toucan Printing & Promotional Products,750000,6/11/2014 -                    6/12/2015,No,Base Period,Set Aside,No,,TOUCAN PRINTING & PROMO PROD
District Wide,CW22294,DCHA-2011-C-3563 - Summer Meals Program for DPR,2124999.19,6/17/2014 -                    6/16/2015,No,Option 1,Open,No,,PREFERRED MEAL SYSTEMS INC
District Wide,CW22667,DCSS - Moving and Logistics Services - RWD Consulting LLC,500000,7/1/2014 -                    6/30/2015,No,Option 1,Set Aside,No,,"RWD CONSULTING, LLC"
District Wide,CW22539,DCSS - Training Services - AEI Training Partners,500000,7/11/2014 -                    6/10/2015,No,Option 1,Set Aside,No,,AEI TRAINING PARTNERS
Emergency Management Agency,BN0P2200162,Emergency Planning and Training Services,550000,4/16/2002 -                    9/30/2002,No,Base,GSA,No,No,Marasco Newton Group
Emergency Management Agency,POBN-2002-C-0001,Emergency Communications Vehicle Driver,43500,6/27/2002 -                    10/25/2002,No,1,Emergency,No,No,Henry Williams
Emergency Management Agency,POBN-2002-C-0002,Emergency Communications Vehicle Driver,100000,7/2/2002 -                    11/1/2002,No,1,Emergency,No,No,Motel 6
